Distrito,Población Total 30/06/2017,Densidad Poblacional (Hab./Km2),Ingreso-per-capita
Lima,265 693,12 088,1186.83
Ancon,41 474,139,938.99
Ate,661 786,8 515,922.61
Barranco,28 970,8 700,1440.6
Breña,74 711,23 202,1336.63
Carabayllo,317 952,917,783.59
Chaclacayo,44 197,1 119,1107.8
Chorrillos,336 054,8 630,1133.29
Cieneguilla,49 707,207,762.3
Comas,537 263,11 021,981.7
El Agustino,195 304,15 574,965.9
Independencia,220 372,15 135,978.27
Jesus Maria,71 680,15 685,1442.05
La Molina,179 785,2 734,1557.51
La Victoria,166 657,19 068,1080.85
Lince,49 064,16 193,1534.44
Los Olivos,384 711,21 080,1083.63
Lurigancho,229 307,970,908.55
Lurin,89 416,496,905.71
Magdalena del Mar,54 925,15 215,1432.97
Miraflores,81 619,8 484,1589.09
Pachacamac,136 921,855,767.75
Pucusana,18 002,481,623.94
Pueblo Libre,76 129,17 381,1415.91
Puente Piedra,373 062,5 241,798.51
Punta Hermosa,7 979,67,1055.27
Punta Negra,8 369,64,902.86
Rimac,162 897,13 723,1149.11
San Bartolo,8 073,179,933.83
San Borja,112 712,11 316,1396.6
San Isidro,53 460,4 816,1418.67
San Juan de Lurigancho,1 138 453,8 674,957.92
San Juan de Miraflores,415 870,17 342,1033.38
San Luis,58 461,16 751,1268.5
San Martin de Porres,729 974,19 777,1044.32
San Miguel,137 247,12 803,1446.32
Santa Anita,238 290,22 291,1050.07
Santa Maria del Mar,1 694,173,1126.47
Santa Rosa,19 802,921,922.38
Santiago de Surco,357 577,10 290,1324.25
Surquillo,91 474,26 438,1403.8
Villa El Salvador,482 027,13 594,911.82
Villa Maria del Triunfo,465 735,6 600,877.85
