lugar,"lat, long"
litoral,"-12.069457, -77.137739"
litoral,"-12.070203, -77.133759"
litoral,"-12.078743, -77.114522"
litoral,"-12.105540, -77.064624"
litoral,"-12.116433, -77.050674"
litoral,"-12.118720, -77.047327"
litoral,"-12.122183, -77.044845"
litoral,"-12.124375, -77.041787"
litoral,"-12.130302, -77.035725"
litoral,"-12.134438, -77.030454"
litoral,"-12.149001, -77.024898"
litoral,"-12.165620, -77.028244"
litoral,"-12.167493, -77.037958"
litoral,"-12.172817, -77.034848"
litoral,"-12.204562, -77.037408"
litoral,"-12.219361, -77.004175"
litoral,"-12.249826, -76.935101"
conchan,"-12.260675, -76.914381"
villa el salvador,"-12.229073, -76.909871"
huaycan,"-12.013337, -76.790424"
carr central,"-11.996457, -76.834534"
comas,"-11.878998, -77.044267"
litoral,"-11.962055, -77.135136"
